Asset Letter,Phone Type,Asset Type,Dimension,Filename
BC,iPad screenshot,iTunesConnect,2048x1496,2048x1496_itunes.png
BD,Android Mobile Portrait LDPI,Splash screen,320x426,320x426_default.png
BE,Android Mobile Portrait MDPI,Splash screen,320x470,320x470_default.png
BF,Android Mobile Portrait HDPI,Splash screen,480x640,480x640_default.png
BG,Android Mobile Portrait XHPDI,Splash screen,720x960,720x960_default.png
BH,Android Mobile Portrait XXHDPI,Splash screen,1080x1920,1080x1920_default.png
BI,Android Mobile Portrait XXXHDPI,Splash screen,1440x2560,1440x2560_default.png
BJ,Android Mobile Landscape LDPI,Splash screen,426x320,426x320_default.png
BK,Android Mobile Landscape MDPI,Splash screen,470x320,470x320_default.png
BL,Android Mobile Landscape HDPI,Splash screen,640x480,640x480_default.png
BM,Android Mobile Landscape XHDPI,Splash screen,960x720,960x720_default.png
BN,Android Mobile Landscape XXHDPI,Splash screen,1920x1080,1920x1080_default.png
BO,Android Mobile Landscape XXXHDPI,Splash screen,2560x1440,2560x1440_default.png
BP,Android Tablet Portrait LDPI,Splash screen,200x320,200x320_default.png
BQ,Android Tablet Portrait MDPI,Splash screen,320x480,320x480_default.png
BR,Android Tablet Portrait HDPI,Splash screen,480x800,480x800_default.png
BS,Android Tablet Portrait XHDPI,Splash screen,720x1280,720x1280_default.png
BT,Android Tablet Portrait XXHDPI,Splash screen,960x1600,960x1600_default.png
BU,Android Tablet Portrait XXXHDPI,Splash screen,1280x1920,1280x1920_default.png
BV,Android Tablet Portrait XXXHDPI,Splash screen,1800x2560,1800x2560_default.png
BW,Android Tablet Landscape LDPI,Splash screen,320x200,320x200_default.png
BX,Android Tablet Landscape MDPI,Splash screen,480x320,480x320_default.png
BY,Android Tablet Landscape HDPI,Splash screen,800x480,800x480_default.png
BZ,Android Tablet Landscape XHDPI,Splash screen,1280x720,1280x720_default.png
CA,Android Tablet Landscape XXHDPI,Splash screen,1600x960,1600x960_default.png
CB,Android Tablet Landscape XXXHDPI,Splash screen,1920x1280,1920x1280_default.png
CC,Android Tablet Landscape XXXHDPI,Splash screen,2560x1800,2560x1800_default.png
CD,Android Store App Icon,Launcher Icon,512x512,appstoreicon.png
CE,Android Default,Launcher Icon,128x128,appicon.png
CF,ldpi,Launcher Icon,36x36,36X36_icon.png
CG,mdpi,Launcher Icon,48x48,48X48_icon.png
CH,hdpi,Launcher Icon,72x72,72X72_icon.png
CI,xhdpi,Launcher Icon,96x96,96X96_icon.png
CJ,xxhdpi,Launcher Icon,144x144,144X144_icon.png
CK,ldpi,Action Bar Icons,18x18,18x18_aicon.png
CL,mdpi,Action Bar Icons,24x24,24x24_aicon.png
CM,hdpi,Action Bar Icons,36x36,36x36_aicon.png
CN,xhdpi,Action Bar Icons,48x48,48x48_aicon.png
CO,xxhdpi,Action Bar Icons,72x72,72x72_aicon.png
CP,ldpi,Notification Icons,18x18,18x18_nicon.png
CQ,mdpi,Notification Icons,24x24,24x24_nicon.png
CR,hdpi,Notification Icons,36x36,36x36_nicon.png
CS,xhdpi,Notification Icons,48x48,48x48_nicon.png
CT,xxhdpi,Notification Icons,72x72,72x72_nicon.png
CU,ldpi,Contextual Icons,12x12,12x12_cicon.png
CV,mdpi,Contextual Icons,16x16,16x16_cicon.png
CW,hdpi,Contextual Icons,24x24,24x24_cicon.png
CX,xhdpi,Contextual Icons,32x32,32x32_cicon.png
CY,xxhdpi,Contextual Icons,48x48,48x48_cicon.png
CZ,Android Store LDPI Screenshot,Screenshots,320x480,320x480_play.png
DA,Android Store MDPI Screenshot,Screenshots,480x800,480x800_play.png
DB,Android Store HDPI Screenshot,Screenshots,480x854,480x854_play.png
DC,Optional,Promotional graphic,180x120,180x120_play.png
DD,Required if you want to be featured in Google Play,Promotional graphic,1024x500,1024x500_play.png
DE,TV Banner,Promotional graphic,1280x720,1280x720_play.png
